Items,Time-interval,Support in percent
"('new', 'covid19')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['4.57'], ['5.06']]"
"('news', 'covid19')","[[Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:25:00')]]",[['1.05']]
"('one', 'covid19')","[[Timestamp('2020-07-24 23:55:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:24:00')]]","[['1.40'], ['1.38']]"
"('patient', 'covid19')","[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-04 07:56:00')]]",[['1.11']]
"('people', 'covid19')","[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:57:00')], [Timestamp('2020-08-06 14:49:00'), Timestamp('2020-08-18 18:26:00')]]","[['2.54'], ['2.40']]"
"('report', 'covid19')","[[Timestamp('2020-07-24 23:56:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.11'], ['1.25']]"
"('reported', 'covid19')","[[Timestamp('2020-07-25 00:01:00'), Timestamp('2020-08-04 07:50:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['1.11'], ['1.37']]"
"('say', 'covid19')","[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:52:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.04'], ['1.23']]"
"('state', 'covid19')","[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-04 07:48:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.23'], ['1.05']]"
"('test', 'covid19')","[[Timestamp('2020-07-24 23:49:00'), Timestamp('2020-08-04 07:54:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:25:00')]]","[['1.72'], ['1.76']]"
"('tested', 'covid19')","[[Timestamp('2020-07-25 00:02:00'), Timestamp('2020-08-04 07:55:00')]]",[['1.13']]
"('testing', 'covid19')","[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:55:00')]]",[['1.04']]
"('today', 'covid19')","[[Timestamp('2020-07-24 23:51:00'), Timestamp('2020-08-04 07:42:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['1.41'], ['1.52']]"
"('total', 'case')","[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:50:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['1.62'], ['1.61']]"
"('total', 'covid19')","[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:50:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['1.62'], ['1.49']]"
"('update', 'covid19')","[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:54:00')], [Timestamp('2020-08-06 14:49:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.40'], ['1.34']]"
"('vaccine', 'covid19')","[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:23:00')]]","[['1.06'], ['1.93']]"
"('world', 'covid19')","[[Timestamp('2020-08-06 14:51:00'), Timestamp('2020-08-18 18:26:00')]]",[['1.18']]
