Items,Time-interval,Support in percent
like,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:53:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:27:00')]]","[['2.42'], ['2.17']]"
tested,"[[Timestamp('2020-07-24 23:55:00'), Timestamp('2020-08-04 07:55:00')], [Timestamp('2020-08-06 14:51:00'), Timestamp('2020-08-18 18:24:00')]]","[['1.50'], ['1.21']]"
think,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:55:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.18'], ['1.07']]"
week,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:54:00')], [Timestamp('2020-08-06 14:49:00'), Timestamp('2020-08-18 18:25:00')]]","[['1.41'], ['1.44']]"
response,"[[Timestamp('2020-08-06 14:51:00'), Timestamp('2020-08-18 18:27:00')]]",[['1.00']]
safe,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.22'], ['1.07']]"
home,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:53:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:24:00')]]","[['1.50'], ['1.55']]"
crisis,"[[Timestamp('2020-08-06 14:52:00'), Timestamp('2020-08-18 18:21:00')]]",[['1.04']]
total,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:50:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:26:00')]]","[['2.32'], ['2.12']]"
would,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:25:00')]]","[['1.30'], ['1.22']]"
one,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['2.84'], ['2.87']]"
vaccine,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:23:00')]]","[['1.50'], ['2.70']]"
support,"[[Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:24:00')]]",[['1.18']]
work,"[[Timestamp('2020-07-24 23:47:00'), Timestamp('2020-08-04 07:55:00')], [Timestamp('2020-08-06 14:49:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.48'], ['1.58']]"
death,"[[Timestamp('2020-07-24 23:48:00'), Timestamp('2020-08-04 07:54:00')], [Timestamp('2020-08-06 14:48:00'), Timestamp('2020-08-18 18:27:00')]]","[['5.16'], ['4.97']]"
last,"[[Timestamp('2020-07-24 23:50:00'), Timestamp('2020-08-04 07:56:00')], [Timestamp('2020-08-06 14:50:00'), Timestamp('2020-08-18 18:27:00')]]","[['1.87'], ['1.95']]"
